SerieKey,Time,Value
18,2012,-2.936761197
18,2013,-3.623408386
18,2014,-3.485576987
18,2015,-7.054824824
18,2016,-6.230350081
18,2017,-6.49010092
18,2018,-5.540574736
18,2019,-4.305973135
18,2020,-3.14082677
18,2021,-2.981036587
19,1993,0.886152205
19,1994,-0.134494859
19,1995,0.362184039
19,1996,-0.339070236
19,1997,-0.256013935
19,1998,-0.456056056
19,1999,-0.808305921
19,2000,-0.199429854
19,2001,-0.785734076
19,2002,1.862984038
19,2003,3.664884226
19,2004,5.158619147
19,2005,3.898573407
19,2006,2.972061197
19,2007,0.579203126
19,2008,0.75205618
19,2009,0.839206594
19,2010,-0.411887688
19,2011,-2.432522666
19,2012,-1.609272687
19,2013,-2.998415946
19,2014,-2.743582768
19,2015,-5.831681256
19,2016,-4.702203218
19,2017,-4.235692243
19,2018,-3.13673032
19,2019,-1.970550847
19,2020,-0.867444537
19,2021,-0.733575471
20,1991,-0.232937707
20,1992,-2.131521383
20,1993,-2.159156952
20,1994,-1.181834057
20,1995,9.42E-02
20,1996,1.20151386
20,1997,1.841393814
20,1998,1.590563193
20,1999,1.932763364
20,2000,2.015955174
20,2001,0.85362893
20,2002,0.964964951
20,2003,1.320388397
20,2004,1.247966169
20,2005,1.527200585
20,2006,1.393809017
20,2007,1.029697122
20,2008,-1.415764463
20,2009,-4.383738438
20,2010,-4.595808728
20,2011,-3.698519559
20,2012,-2.466715091
20,2013,-1.617936115
20,2014,-1.504439451
20,2015,-1.292991884
20,2016,-1.297284885
20,2017,-0.960579472
20,2018,-0.260592799
20,2019,0.45061847
20,2020,0.970622591
20,2021,1.056113911
21,1995,-6.070884914
21,1996,-4.052575332
21,1997,-1.81606956
21,1998,-2.904207971
21,1999,-2.699382183
21,2000,-2.953872321
21,2001,-0.275237082
21,2002,-0.963816599
21,2003,-0.546068685
21,2004,1.78E-02
21,2005,-1.93596873
21,2006,-3.103021538
21,2007,-3.858592007
21,2008,-3.548739921
21,2009,-1.495026822
21,2010,-1.263302163
21,2011,-0.547155068
21,2012,8.81E-02
21,2013,1.296994091
21,2014,0.222295468
21,2015,1.475337342
21,2016,0.628425264
21,2017,0.465117521
21,2018,0.403194165
21,2019,0.466771845
21,2020,0.506032792
21,2021,0.579585768
22,1991,-1.999584289
22,1992,-3.715705345
22,1993,-3.951591517
22,1994,-3.178391777
22,1995,-1.992197156
22,1996,-0.813678008
22,1997,0.122591108
22,1998,0.18502229
22,1999,0.942802133
22,2000,1.329843869
22,2001,0.132645222
22,2002,0.300903492
22,2003,1.028087389
22,2004,1.259203696
22,2005,1.676875407
22,2006,1.711122777
22,2007,1.231025172
22,2008,-1.382878023
22,2009,-4.47946398
22,2010,-4.894383937
22,2011,-4.21140554
22,2012,-3.172665108
22,2013,-2.419302664
22,2014,-2.394114867
22,2015,-2.280376952
22,2016,-2.372069299
22,2017,-2.070491888
22,2018,-1.362442235
22,2019,-0.615306982
22,2020,-6.95E-02
22,2021,1.42E-02
23,1995,-8.990790348
23,1996,-7.38034159
23,1997,-4.871157434
23,1998,-5.891437571
23,1999,-5.487451798
23,2000,-5.731947903
23,2001,-2.978472971
23,2002,-3.552728298
23,2003,-2.923373178
23,2004,-2.208499812
23,2005,-4.281764679
23,2006,-5.463251869
23,2007,-6.146144443
23,2008,-5.850746481
23,2009,-3.644749798
23,2010,-3.402275213
23,2011,-2.698284969
23,2012,-2.083073751
23,2013,-0.824900904
23,2014,-1.754066893
23,2015,-0.404107487
23,2016,-1.134981035
23,2017,-1.174256605
23,2018,-1.044185749
23,2019,-0.938401613
23,2020,-0.80768282
23,2021,-0.681450391
24,1990,10.59338176
24,1991,10.97023617
24,1992,10.79111544
24,1993,11.98558918
24,1994,11.8854261
24,1995,11.89117704
24,1996,9.168991892
24,1997,9.355257599
24,1998,8.923639011
24,1999,8.46621142
24,2000,8.489216099
24,2001,8.649287787
24,2002,9.562293132
24,2003,9.804302515
24,2004,9.124267414
24,2005,9.354526673
24,2006,9.558595932
24,2007,9.299270936
24,2008,9.792863581
24,2009,9.458611166
24,2010,10.0238396
24,2011,10.36240565
24,2012,11.24562207
24,2013,11.2288917
24,2014,10.92035392
24,2015,9.919500051
24,2016,10.4834119
24,2017,11.09965729
24,2018,11.88340039
24,2019,12.32509619
24,2020,12.75573879
24,2021,13.03617997
25,1990,-0.180569837
25,1991,0.521462141
25,1992,0.419493706
25,1993,0.502293141
25,1994,3.78E-02
25,1995,-0.444193131
25,1996,-2.375436905
25,1997,-2.284108449
25,1998,-2.571083495
25,1999,-1.563550685
25,2000,-2.918305461
25,2001,-4.080077757
25,2002,-2.737512095
25,2003,-2.342577816
25,2004,-2.623860389
25,2005,-2.8525622
25,2006,-2.57255392
25,2007,-2.232744899
25,2008,-4.030652684
25,2009,-3.210027688
25,2010,-2.675356067
25,2011,-3.589160486
25,2012,-2.978395739
25,2013,-3.380968216
25,2014,-3.076787055
25,2015,-3.881152905
25,2016,-4.256538789
25,2017,-4.679960744
25,2018,-4.243431129
25,2019,-4.15294224
25,2020,-3.947233681
25,2021,-3.543242155
26,2003,44.32169691
26,2004,43.48184932
26,2005,42.29555622
26,2006,42.32450047
26,2007,41.91341757
26,2008,40.57323332
26,2009,39.54272411
26,2010,36.61801698
26,2011,35.3020092
26,2012,33.82200673
26,2013,34.46458848
26,2014,33.86952576
26,2015,33.90460498
26,2016,33.97073296
26,2017,34.34233151
26,2018,34.24874819
26,2019,34.17236309
26,2020,33.88637594
26,2021,33.63781151
27,1990,10.7739516
27,1991,10.44877403
27,1992,10.37162174
27,1993,11.48329604
27,1994,11.84763054
27,1995,12.33537017
27,1996,11.5444288
27,1997,11.63936605
27,1998,11.49472251
27,1999,10.0297621
27,2000,11.40752156
27,2001,12.72936554
27,2002,12.29980523
27,2003,12.14688033
27,2004,11.7481278
27,2005,12.20708887
27,2006,12.13114985
27,2007,11.53201584
27,2008,13.82351627
27,2009,12.66863885
27,2010,12.69919566
27,2011,13.95156614
27,2012,14.22401781
27,2013,14.60985991
27,2014,13.99714097
27,2015,13.80065296
27,2016,14.73995069
27,2017,15.77961803
27,2018,16.12683152
27,2019,16.47803843
27,2020,16.70297247
27,2021,16.57942212
28,1990,0.388269392
28,1991,1.309136553
28,1992,1.168615359
28,1993,1.224983452
28,1994,0.717434694
28,1995,0.299500618
28,1996,-1.479730461
28,1997,-1.446775212
28,1998,-1.568540387
28,1999,-0.337670572
28,2000,-1.549265048
28,2001,-2.675934167
28,2002,-1.181516187
28,2003,-0.720164537
28,2004,-1.212579576
28,2005,-1.415695559
28,2006,-1.016379894
28,2007,-0.593057144
